year,region_id,road_category_id,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2016,10,6,26632.06,16548.39,198048903.8,86496858.03,8039338118,123031693.5,1493407048,104188069.8,9846461787
1996,11,5,1340.4,832.89,5445075.758,6789101.646,745204878.5,18473986.92,94742329.79,21523676.73,886733973.6
2003,7,4,3041.64,1889.99,42064391.14,108353208.3,7651959453,77499830.49,1081418425,523971479.5,9443202396
2002,1,6,41003.1,25478.15,190900508.5,160645641,6681737497,112042989,1003675140,162550978,8120652245
1999,9,2,10.6,6.59,0,1467739.65,142976114.5,768468.3946,12950875.01,8195052.145,166358249.7
1996,10,1,364.694,226.61,0,15711052.45,4436296056,37373031.5,628037494.2,972936099.4,6090353734
2014,3,5,7313.81,4544.59,22295437.15,23323495.95,1885594131,28676393.61,430659232.1,59427769.5,2427681022
2014,4,1,141.8,88.11,0,9169828.758,1736945060,8040270.608,297923673.2,176416461,2228495293
2001,3,3,2811.97,1747.28,3984402.34,36113571.74,4495572130,49617753.57,617112121.5,478765085.6,5677180662
2018,5,4,3782.8,2350.52,57569242.17,72989102.01,9018697821,90194568.72,1483841367,397396354.2,11063119214
2017,2,2,0,0,0,0,0,0,0,0,0
1996,11,2,2.393,1.49,0,119847.5901,30093454.85,244864.3671,3755764.461,947942.1429,35161873.41
2013,9,2,10.6,6.59,0,1442275.808,146517441.6,681042.0941,19183934.55,5803846.358,173628540.4
1995,11,6,12744,7918.75,71067466,21357770.62,3303926942,99200668.1,375086370.6,59995874.1,3859567625
1996,6,4,1372.198,852.64,105403730.3,158416364.7,5887831302,158497307.6,745815388.8,211187849.2,7161748212
1995,4,1,132.693,82.45,0,4787033.102,1071799209,10923709.91,136973788.7,182060548.3,1406544289
2008,4,3,1546.6,961.01,1784588.404,28845069.35,3228522887,29125858.01,546361374.3,283972197.6,4116827386
2013,5,3,305.13,189.6,1282981.876,7291039.867,1055499103,8308893.531,184617343.9,104333088.7,1360049470
2012,8,3,298.02,185.18,613677.567,9568536.23,1549874948,10316552.42,290065038,273420168.4,2133245243
2010,7,6,32212.3,20015.8,374342300.4,133808695.7,8086657488,134934641.5,1489861337,136615973.2,9981878136
2011,1,4,4211.2,2616.72,42154521.66,113363999.9,7759023430,87769542.43,1361182915,365876674.6,9687216562
2016,7,6,32554.85,20228.65,405877678.4,125471284.5,8852501060,101490312.6,1699797509,110375649.3,10889635815
2019,11,6,13192.114,8197.2,66594997.85,30169166.99,3750476027,106527739.3,692289618.7,32717856.31,4612180409
2001,6,5,514,319.38,19929008.94,43508182.03,1135532014,26447501.83,150850468.4,26822231.23,1383160397
1994,10,5,2507.1,1557.84,20607154.22,24211107.13,2040836515,31071045.1,269778245,62444697.96,2428341610
2015,10,2,3.2,1.99,0,274258.8315,51325505.63,495112.6347,7517903.141,3588536.355,63201316.59
2015,2,6,25398.1,15781.65,233420253,92818687.8,6264521155,78175694.58,1169608937,136469475.8,7741593950
2004,1,5,3278.6,2037.23,23237253.05,43979582.76,2079060656,32009461.68,400924839.6,75157344.81,2631131885
2019,10,5,2514.335,1562.34,19033806.31,27730816.93,2500476085,21117223.55,458256223.8,43149064.01,3050729413
2007,8,4,2951.9,1834.23,27600666.48,75972243.04,7033645306,96242536.4,1120427033,382332297.2,8708619416
1998,1,6,40684.7,25280.3,160047199.4,114908931.8,6012176390,102726949.6,845583666.4,141033240.9,7216429179
2008,2,6,25156.6,15631.59,195994630.3,104713114.4,5779236073,102236154.7,1019888956,176445476.8,7182519775
2000,11,2,2.4,1.49,0,155147.1904,29358933.58,219007.2477,3180631.114,825723.2761,33739442.41
2018,1,4,4247.6,2639.34,48504986.34,103446003.9,8383510256,68293290.49,1623919765,385369574.7,10564538890
1995,8,3,700.836,435.48,4519648.378,20010678.26,2368104758,19820207.49,313097089.9,412659023.8,3133691757
2005,9,4,4555.45,2830.63,52095168.78,166788081.1,12955243598,114503883.2,1770079736,578775269.8,15585390569
2015,3,6,41297.32,25660.96,166309928.5,48120805.08,5678501447,107098381.5,1145594087,117780308.3,7097095029
2010,10,3,437.6,271.91,969708.1544,13541735.33,1928763535,10186108.75,335024596.4,233300881.9,2520816858
2013,3,1,456.82,283.85,0,17513659.06,3313339677,41849572.64,627642055.3,511884459.5,4512229423
2003,11,2,2.4,1.49,0,181304.3078,28607116.32,229068.49,3433623.265,793030.5764,33244142.96
1999,4,5,2986.9,1855.97,8394724.807,12828208.26,1071296752,22934810.71,201423064.3,44772279.89,1353255115
2003,10,1,381.7,237.18,136.0802911,22493731.92,4994272989,28245505.62,780123247.4,1044276933,6869412407
2012,11,6,13032.20909,8097.84,75445094.09,27990621.68,3101495107,78742800.43,498909150.3,40606013.35,3747743693
2010,11,4,1424.2,884.96,12102187.29,25542520.12,3214234847,45646500.69,492464412.8,131266110.6,3909154391
1999,7,4,2753.23,1710.78,41372056.56,85521848.03,6848219259,69011586.71,938042378.1,411409652,8352204724
1994,9,6,37844.7,23515.61,329099310,141878305.7,10861933807,115297910.2,1277516802,195698371.5,12592325196
2004,5,5,1955.5,1215.09,24643121.73,27427584.26,1786658940,42621193.72,288166716.3,55349258.67,2200223693
1998,2,4,2592.165,1610.7,26134600.18,49775928.58,4918993942,53455484.35,679811923.4,380908887.1,6082946165
2019,7,2,0,0,0,0,0,0,0,0,0
1997,2,3,1232.401,765.78,5635736.673,32201368.38,4161363441,26800280.11,581215092,708100207.3,5509680388
1997,1,5,3287.6,2042.82,24391926.15,35142890.52,2019644650,30711892.55,309869735.7,70464735.94,2465833905
1994,3,3,2813.698,1748.35,4641389.908,28337647.51,4130393901,44715434.36,508561005.6,480578971.3,5192586960
2001,11,6,12923.4,8030.23,74299961.01,28468074.05,3429202263,104698927.6,444771220.7,66463227.36,4073603712
2000,6,1,65.6,40.76,0,19709810.83,1132898634,13178141.4,161519823.7,148443590.1,1475750000
2001,10,5,2506,1557.16,19364148.22,27127048.89,1938556544,32179017.71,315789932.4,62406457.97,2376059001
2001,4,1,141.3,87.8,0,7892067.824,1407978932,9525145.649,203671146.1,196331208.9,1825398501
1994,1,5,3289.4,2043.94,24313012.01,35785388.33,1995245889,27701349.12,280790185.3,70131680.98,2409654493
2004,11,6,12685.4,7882.34,69045702.31,30908349.82,3307978295,111600179.4,497680353.4,65237553.48,4013404731
2013,1,6,41495.00465,25783.8,248922909,151296395.9,7503120188,103095728.7,1371192471,126930878.6,9255635662
2019,2,6,25670.253,15950.76,210424141.6,77484399.33,6631561194,78548880.38,1294506673,122705413.9,8204806561
1997,4,6,25529.1,15863.05,58661168.77,43445652.39,3517056639,60355648.02,509375248.5,90739456.57,4220972645
2015,9,6,38930.64,24190.38,431938247.8,178117703.9,12242079581,107137356,2214982640,145862984.4,14888180266
2007,7,1,265,164.66,0,31603558.97,3870756139,26030095.8,703856662.7,667921917.6,5300168374
2001,2,1,193.7,120.36,0,12619474.77,2772244701,16248668.4,418280424.2,635454026,3854847294
2018,11,2,2.8,1.74,0,204879.0837,36115456.86,335340.1529,4528347.078,772859.1842,41956882.36
2015,8,5,1920.1,1193.09,17526583.63,28485711.74,1621614761,17386566.28,331609016.7,46073873.85,2045169929
2018,3,2,0,0,0,0,0,0,0,0,0
2004,4,4,2626.69,1632.15,8698986.071,36153025.08,3995539164,46754788.42,514700128.7,168003948.3,4761151055
2005,3,4,7464.36,4638.14,17473519.05,60157041.5,6106450290,106940150.6,899942141.1,380840782.4,7554330406
1994,2,3,1215.788,755.46,5647997.569,30848189.08,3832104554,25152926.29,514157316.9,654458471.9,5056721458
2017,4,2,0,0,0,0,0,0,0,0,0
2005,10,3,540.08,335.59,1038601.07,17475594.28,2311719729,12458844.66,364175385.2,281035788.7,2986865342
1997,3,6,40957,25449.5,102382710,36481945.44,4749698635,128264684.2,650230155.9,136578630.8,5701254051
2003,5,3,586.33,364.33,3003752.43,20753752.62,1855785989,14684226.9,252624305.9,197768317.5,2341616592
2002,8,3,662.95,411.94,2764017.513,21023928.69,2502606162,20364086.7,359167213.2,416462220.8,3319623612
2002,9,4,4368.38,2714.39,57119743.01,168181550.1,12346982263,120166352,1511956433,535599565.4,14682886163
1996,1,1,312.241,194.02,0,15280580.16,3073647825,30267774.94,384880401,500017630.8,4004094212
1995,7,3,1131.908,703.34,4623805.103,41307912.42,4656967082,28985136.18,640025258.1,675701211.2,6042986600
1999,2,5,2008.5,1248.02,13231478.17,19866479.76,1265035319,17303944.96,215879265.1,64804665.75,1582889674
2006,1,3,705.1,438.13,856217.1916,27559774.36,3012450750,17955295.45,457486130.7,272624888.2,3788076838
2017,9,2,10.6,6.59,0,982950.5134,146826579.4,422352.2715,19776774.18,6894583.797,174903240.2
2017,6,3,1.3,0.81,12092.91736,82410.49024,7986893.384,46323.72072,1488816.72,833323.7356,10437768.05
1999,10,4,2692.39,1672.97,24554837.25,56798937.33,5931535093,88644113.38,785518228.5,321701050.9,7184197423
2017,8,1,418.2,259.86,0,14960072.09,4918912898,15436214.66,1173327888,1080974505,7203611577
2012,2,4,3273.71,2034.19,27211831.78,65491001.53,6487947199,64160143.95,1111862243,455918499.7,8185379087
2015,11,6,13096.71,8137.92,75213555.64,25849433.05,3278425076,80016246.1,580334868.4,42691388.57,4007317012
2001,7,5,3266.7,2029.83,20639699.97,32943922.56,2082379363,29144507.17,418873187.5,84953519.23,2648294500
2002,1,3,1003,623.24,1819665.653,39419670.69,3541682855,23181980.67,462982844.6,328611767.3,4395879118
1997,10,5,2507,1557.78,20816556.31,23853818.7,2060332657,35117414.3,294872942,62506213.71,2476683046
2010,3,4,7473.3,4643.69,24367897.73,52182936.03,6061452983,126532897.9,987182859.6,374647797.8,7601999475
2007,10,4,3019.99,1876.53,17102586.86,64043803.07,6899204914,79085301.96,1061983506,372319423.2,8476636948
1998,8,6,25863.5,16070.83,173223375.5,73578426.99,5535879837,100159443.8,797561615.2,134093767.4,6641273090
2019,3,6,41179.877,25587.99,178326806.7,59526310.79,5722132657,131110666.9,1308275005,83645173.39,7304689813
2003,7,1,265.3,164.85,703.081504,31055518.27,3818134979,24622685.39,527803557.2,637988880.3,5039605620
2009,8,3,370.4,230.16,781486.4317,12763242.66,1682381641,11658111.94,307259907.8,293458667.3,2307521570
2009,9,4,4559.4,2833.08,73854402.79,159737532.2,12482838813,107321286.5,1865749924,484670890.4,15100318446
1993,1,1,301.339,187.24,0,13987757.12,2684992186,27945610.76,309953773.1,428960859.2,3465840186
2010,5,3,326.8,203.06,1241188.335,8498781.18,1187157565,9410609.851,184501877.2,134189455.5,1523758288
2016,10,3,440.8,273.9,1129875.857,14915394.53,2220790796,10421079.34,425762174.4,271301246.5,2943190690
2015,6,2,0,0,0,0,0,0,0,0,0
2015,4,6,26548.63,16496.55,85639413.63,55568738.17,4236155709,51409730.9,861878110,73820337.24,5278832625
2017,1,1,327.3,203.37,221.9481975,20397730.94,4484500665,19624640.32,812943434,575153111.6,5912619581
2016,7,3,784.6,487.53,1103244.047,37760041.42,5113439810,21043686.82,1098719367,728164715.5,6999127621
2012,8,6,26368.37345,16384.55,230462765,107103898.8,6362856371,87408117.76,1154497249,106222199.8,7818087837
2006,9,4,4558.89,2832.76,66607333.48,159093647.9,12984969127,117141035.4,1809276805,567184626.5,15637665241
1993,9,5,3091.2,1920.78,29583482.46,36052577.94,2700162924,28208388.01,345566268,82267060.37,3192257218
2018,8,5,1912.6375,1188.46,13875008.27,26488062.52,1872923893,18391678.47,374990642.7,41652312.39,2334446589
2007,3,5,7320.3,4548.62,14585905.81,22743906.83,1888180488,45760036.39,468903547,88140198.74,2513728177
2000,8,2,3.5,2.17,0,275362.3837,44459904.04,637304.2681,6118921.498,1976500.611,53467992.8
2005,8,6,26301.5,16342.99,203185956.4,116077486.6,5946411859,108200118.7,1060881545,154456254.2,7386027263
2012,5,2,21.7,13.48,0,851809.9667,188285064.2,1039552.599,29650141.64,11861813.89,231688382.3
1994,4,6,25380.5,15770.71,57251277.54,43279746.28,3423406059,52986807.05,458118338.9,89090958.8,4066881910
2000,9,3,875.6,544.07,3539889.421,62633480.23,5289237466,40109187.47,702305232.6,493000165.2,6587285531
1999,5,3,825.23,512.77,6764592.902,21731219.06,2386454499,22648887.37,306356700.6,259508980.7,2996700287
