year,region_id,road_category_id,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2000,5,4,3168.28,1968.68,47015561.69,76807172.18,7617189278,133177272.5,891401002.5,361149412.5,9079724138
1997,7,5,3269.1,2031.32,22619154.14,29185804.9,2182907446,29687251.45,372600885.8,83352595.84,2697733984
1995,10,3,836.417,519.73,4241512.691,20801511.05,2676844332,22046979.39,353142363.6,332291948.1,3405127134
2016,1,6,41723.39,25925.71,242232335.4,159948710,8281959527,91365088.39,1647464947,140672176.2,10321410449
2003,2,5,2007.4645,1247.38,13414565.79,22826560.82,1256524333,18111427.89,238084601.6,66080534.12,1601627458
2007,4,5,2981.8,1852.8,7587369.568,14914734.03,1076012117,23540083.35,252239909.6,44638147.47,1411344992
2013,8,1,401.3,249.36,0,16128263.34,4195529181,18470909,908560619.2,946668630.7,6085357603
2000,3,5,7339.8,4560.74,15475249.54,18936287.08,1810442019,42428467.75,370961708.6,88521782.79,2331290265
2019,5,2,23.3,14.48,0,819993.104,250500244.7,934688.3246,43402586.24,12233948.09,307891460.5
2016,2,4,3289.6,2044.06,27040409.85,64825154.05,6854891821,59400124.89,1310902861,474016259.4,8764036221
2004,2,1,193.7,120.36,0,11145331.14,2996367377,15961352.82,504681916.2,705195900.8,4233351878
2006,8,6,26490.5,16460.43,205116497.6,105711229.1,6006092934,108972321.9,1081137757,149974701.5,7451888943
2012,9,4,4559.98,2833.44,70829226.25,138125899.9,12148888486,107247966.6,1944705778,477266946.7,14816235077
1994,4,3,1506.139,935.87,2959781.75,18378471.6,2556526907,23850460.19,360522061.8,258621584.9,3217899485
2008,10,5,2508.7,1558.83,19478805.59,28132854.79,1910770125,31288003.24,373668041.6,57516175.76,2401375200
2014,11,5,1340.9,833.2,5498989.029,9383675.303,722977084.5,12766712.49,127662588.8,14692127.68,887482188.8
2014,10,4,3109.25,1932,22770551.15,59628285.37,7024241814,76383891.92,1209973727,361715561.1,8731943279
2009,4,1,141.3,87.8,408.2408733,9491940.505,1636828604,8601998.081,252979067.2,177270661.2,2085172271
2011,7,4,3110.1,1932.53,46118154.97,88018750.81,7986149555,74099596.79,1397629935,457408995.8,10003306833
1993,5,1,553.439,343.89,0,20402941.82,5387986431,42759391.4,715590451.8,1018216776,7184955992
2012,5,5,2004.736,1245.69,29676965.47,27211178.54,1791972354,31395711.05,302364967.2,36695475.17,2189639686
2010,1,6,41373.1,25708.05,229329986.1,162956756.1,7179791808,119038302.7,1337733995,144747540.2,8944268401
2013,4,4,2602.09,1616.86,11276585.06,33356723.55,3708659571,49716903.5,618910740.6,141567396.6,4552211335
2006,3,5,7328,4553.41,15584787.77,21363405.61,1851018450,41633272.98,442492688.7,87944528.53,2444452346
2005,1,3,704.6,437.82,1026181.475,29909313.98,3012618628,16051055.9,440648916.3,269534504.7,3768762418
2017,5,6,30454.12,18923.31,218357238.4,119323856.4,9571978558,46231023.39,1603519167,115839451.2,11456892056
2002,3,1,386.49,240.15,1837.08393,9573012.606,2728130350,27587228.55,359884794,435033014.2,3560208400
2008,6,1,60.1,37.34,0,12470836.69,1053454131,8764656.407,170202608.3,144828310.3,1389720542
2014,8,2,3.5,2.17,0,289447.2307,38112974.4,429527.2359,6652406.075,1080313.633,46564668.57
1993,3,5,7352.1,4568.38,16230836.91,17296488.51,1802663694,38999120.14,295921816.6,85429839.74,2240310959
2009,11,6,13038.8,8101.93,72714130.08,30525471.42,3070111005,100237165.8,485595565.7,49152247.91,3735621456
2013,11,4,1427.81,887.2,13791921.61,23865445.77,3199688508,45141948.64,528079692.4,133204043.7,3929979638
2011,6,1,60.1,37.34,0,9218192.319,1008892157,7928037.759,163124684,134615522.8,1323778594
2019,4,1,142,88.23,0,7744463.283,1821075485,6935907.561,356677722.6,192321825.1,2384755403
2009,2,4,3307,2054.87,28590922.76,77334293.35,6895183043,61398293.34,1117350258,502846567.9,8654112455
1999,1,4,3922.4,2437.27,35295550.24,113183566.1,7195130840,89590425.66,918175007.3,411598595.5,8727678435
2019,1,2,0,0,0,0,0,0,0,0,0
1995,9,4,4296.099,2669.47,70761360.53,136222183.1,11394752638,118182603,1297829403,508438888.8,13455425716
1996,5,1,573.462,356.33,0,19922178.85,6077281887,44367404.36,861533889.6,1149671339,8152776698
2002,11,4,1314.9,817.04,10171570.84,26925594.84,2987593303,49470583.67,370014082.4,141829547.3,3575833112
1995,3,1,341.441,212.16,0,6311259.122,2049363876,23987136.37,260357295.3,342960294.4,2682979861
2012,4,1,141.3,87.8,0,8236078.497,1614085566,7184284.019,272601956.7,173800130.7,2075908016
2011,10,1,427,265.33,0,20374621.58,5780446683,25107494.11,958610217,1000138611,7784677626
2009,6,5,508.2,315.78,18471257.95,46704931.29,963954475,24880658.17,159369650.2,18856617.26,1213766332
2003,3,5,7334.7175,4557.58,15451637.44,21404994.83,1806820667,44805212.56,397901256.7,88530481.99,2359462613
2002,10,3,729.6,453.35,2402180.019,23833533.1,2879116604,19731869.01,398984442.4,328297512.5,3649963961
2000,4,3,1539.5,956.6,2644820.672,25600050.55,2795901483,27286752.04,402221770.2,271616695.7,3522626751
2011,11,2,2.4,1.49,0,134900.9286,27070679.11,265719.4484,3742026.565,678723.1319,31892049.18
1998,7,6,31666.1,19676.4,293841465.8,107156083.5,7640033455,130185342.6,1062669013,153097162.6,9093141056
2004,8,3,415.95,258.46,1145728.57,15529581.06,1911063429,13683882.13,310826968.7,370470533.8,2621574395
1994,8,5,1923.3,1195.08,14702263.78,18546687.35,1358657938,22191029.39,195481513,54436466.04,1649313633
2005,5,3,335.6,208.53,949001.2701,11239279.48,1200760876,8920494.003,170642757.2,140062590.1,1531625997
1995,5,5,1940.3,1205.65,28583696.21,22008967.63,1944564369,42195453.55,234745337.2,56042710.57,2299556838
2010,8,1,380.1,236.18,0,16590682.29,4096840660,19804331.76,778091976.9,917818380.7,5829146032
2017,11,4,1434.2,891.17,13394952.5,23650719.31,3346661013,38280458.21,576881916.7,133749164,4119223271
2016,4,4,2649.19,1646.13,14914849.39,34919636.4,4009360689,45504354.65,706257378.5,141276204.2,4937318263
2004,10,5,2525.1,1569.02,18397009.93,28096195.23,1927114358,33803854.84,347539816.2,60095465.16,2396649689
1995,2,1,181.901,113.03,0,8385672.05,2152386782,23534431.42,309174934,488737483.7,2982219303
2003,8,1,361.8,224.81,0,14059634.24,3747281260,20915019.1,686565257.6,897815371.7,5366636543
1998,3,4,7469.586,4641.39,23801543.98,42203858.84,5862173804,124352129.2,821416014.8,354242380.1,7204388187
2003,9,2,11.2,6.96,0,1220209.29,146404498.7,823172.3609,14563040.59,6959577.008,169970497.9
1994,7,5,3271.2,2032.63,22695582.8,29856264.42,2153495462,26933334.33,335333527.2,82794604.51,2628413192
2005,11,4,1411.37,876.98,8238779.372,27955452.75,3192513701,44782390.84,438408603.8,154074176.7,3857734325
2007,1,1,326.8,203.06,0,26342899.03,4193801338,24635272.82,581820742.2,597988872.5,5424589124
1997,9,6,38101.8,23675.36,341268243.5,143469637.3,11144732885,132285577.2,1404568570,198325528.9,13023382198
1998,11,1,55.141,34.26,0,1798082.946,447535227.4,2967285.428,64596007.44,81974561.68,598871164.9
2001,5,5,1940.4,1205.71,26236687.64,25916549.9,1832290096,40251538.85,259418687.7,56507354.24,2214384227
2016,3,4,7474.69,4644.56,21343891.17,49261577.44,6183430901,126373467.1,1254102272,363058737.1,7976226954
1998,10,6,25734.3,15990.55,143540473.6,69005756.38,6776638804,150712339.9,892497812.8,132842947.2,8021697661
2018,6,1,60.3,37.47,0,10426755.96,1132864464,7490552.787,266007746.5,177096508.6,1593886028
2016,8,3,268.7,166.96,703182.9155,9279580.324,1386798648,8535716.509,296309661.9,241240851.4,1942164458
1997,8,5,1923,1194.9,14722147.66,18217981.99,1372769277,24932519.09,214303467.7,55118110.24,1685341356
2011,9,2,10.6,6.59,0,1269538.396,150841668.7,718481.257,16376355.83,6957739.924,176163784.1
2008,5,1,615.8,382.64,0,35543307.09,8111673153,38704675.57,1272863460,1386259887,10845044482
1996,7,1,252.335,156.79,0,25399715.66,3438541012,25658377.57,508382823.7,565331107,4563313036
1995,1,3,991.738,616.24,3439132.342,31677541.28,2989045985,20675918.26,358227866.1,288448524.4,3688075835
2016,9,4,4566.8,2837.68,70494263.88,141240306.4,12562897450,99832049.08,2324562218,501118480.2,15629650504
2012,6,5,517.497,321.56,19055797.67,38833694.33,931506861.4,19363478.41,160455200.1,15060816.23,1165220050
2005,7,6,31752.1,19729.84,343017606.8,163866143.6,8167069925,138366369.7,1401349263,172583646.1,10043235348
2006,7,3,788.82,490.15,983474.9438,38921265.28,4570364715,27550436.98,775573822.5,719596507.5,6132006747
2000,2,3,1210.8,752.36,5197044.262,35719809.19,4192785208,25583321.4,602231042,725886127.3,5582205508
2016,6,5,507.87,315.58,21450195.02,44516336.56,847539359.3,12154181.78,186374042.2,11877046.11,1102460966
2011,5,1,624.3,387.92,0,34977102.78,8383921386,42798181.43,1347538394,1246825166,11056060230
2015,10,5,2514.92,1562.7,22152077.07,33842526.5,2195626918,23655157.33,413458096.5,43695130.15,2710277828
1993,7,1,243.524,151.32,0,22061577.26,2982840021,24349568.52,402442460.4,491258062.9,3922951690
1994,6,4,1373.23,853.29,98591901.42,153005865.1,5910515515,143944333.2,739874840.9,207720911.1,7155061465
1997,11,6,12803.6,7955.79,70900317.15,22474996.02,3374010777,106953516.5,405628007.4,61542466.99,3970609764
2000,8,5,1922.5,1194.59,14191512.2,20406845.4,1333899880,24164679.98,232490525.6,57429852.32,1668391783
2001,1,5,3285.5,2041.52,23096518.47,40987840.76,1967043068,30406278.86,350569741.7,74292632.58,2463299562
1998,9,1,639.081,397.11,0,71403910.54,9822696233,106006400.7,1246849002,1094362666,12341318213
2002,7,3,864.1,536.93,1351141.21,48457964.86,4722640398,30329053.64,698348019.1,732057964.9,6231833400
2009,5,5,1983.6,1232.55,27682764.29,28262462.21,1751501101,39594878.88,297105307.8,44480499.81,2160944249
2008,8,5,1913.8,1189.18,14636302.63,22600342.4,1369202047,23676758.75,292362727.9,56774039.88,1764615916
2017,10,1,440.6,273.78,152.8206524,17661262.44,6074141566,19490715.55,1172270434,1203239069,8486803047
2008,9,6,38346,23827.1,374488802.9,201121407,11606227766,136408749.8,1982234459,201511005.6,14127503387
2006,11,1,55.6,34.55,0,2536944.867,503773297.4,2670825.193,87810139.72,78323755.83,675114963
2014,6,4,1717.66,1067.3,190331882.1,244377517.6,7971023802,246377984.9,1397427156,425712789.5,10284919250
1995,4,4,2599.14,1615.03,12720104.59,27498719.98,3552267741,49961122.05,412658283.1,185589092.8,4227974959
1993,2,5,2010,1248.96,13579446.04,18002366.18,1235699142,15478977.77,174953894.3,64228654.66,1508363035
2000,5,1,600.2,372.95,0,32986767.03,6959429447,47396284.08,988555005.5,1266340842,9294708345
2004,6,5,511.4,317.77,17923788.86,47583150.91,1060262732,27966726.6,167660761.4,26177356.82,1329650728
2009,3,6,41386.9,25716.63,133523121.5,57070861.52,5544251909,149347858.1,1006245244,139734383.1,6896650256
2013,7,6,32374.82001,20116.78,397464208.5,121649128.1,8194053001,115500892,1474437477,113467864.5,10019108362
2003,1,1,326.8,203.06,0,24470751.75,3787882584,24658270.39,488887270.2,571746718.2,4897645594
1999,8,4,2591.53,1610.3,35450056.67,60327670.16,5797546227,93238257.33,735134684.1,330228373.2,7016475212
2006,10,6,26279.8,16329.51,163888458.7,97214893.66,7100959957,159094268.5,1173476671,145910376.9,8676656168
2002,11,1,55.6,34.55,0,2202391.471,476557919.6,3554008.963,72856253.85,78852699.92,634023273.8
2011,1,1,326.8,203.06,0,23791643.05,4190571858,24117986.27,614543947.1,529737099.4,5382762533
2010,7,3,769.9,478.39,1229326.67,34938682.78,4475399247,22714703.63,811542916.6,659664837.7,6004260387
1999,9,5,3090.3,1920.22,28898110.04,39892030.54,2763332140,31494198.88,425122907.2,82231020.84,3342072298
1998,5,5,1940.7,1205.9,26723932.24,23318196.73,1960418034,46198948.14,262461599.3,56096769.86,2348493548
1994,8,2,5.612,3.49,0,364651.0628,64198766.08,696790.7421,9981050.664,4936920.882,80178179.43
2017,7,1,263.3,163.61,0,25074935.21,4407025906,18683306.36,976950030.3,742154786.7,6169888964
2016,1,3,737.3,458.14,1026551.77,28242269.52,3230807130,15877866.58,684778882.9,278211115.5,4237917264
2007,11,5,1338.3,831.58,4129411.164,7873905.816,611490726.3,16858502.91,111525314.1,17993010.71,765741459.8
2013,8,4,3061.66,1902.43,37627546.75,72612530.03,6851077585,92089378.63,1162934915,332179701.8,8510894110
2008,3,3,2806.96,1744.16,3980628.43,45762776.56,4647438658,54448133.24,795198528,555179352,6098027447
2008,10,2,3.2,1.99,0,292464.5073,44959367.92,744169.7984,6542608.417,2488222.53,55026833.17
2013,10,6,26453.29465,16437.32,188310634.6,81997615.14,7375868942,139315394.8,1292203949,104701442.2,8994087343
2017,5,3,294.3,182.87,1273935.504,8861089.027,1164636393,7214718.446,231512191.7,119362176.7,1531586569
1996,3,4,7414.591,4607.21,24826336.69,38657937.02,5800198862,123426672,726704272.7,346636387.9,7035624131
2016,2,1,196.9,122.35,0,8424103.793,2938088946,12470647.81,632818350.4,665104935.2,4256906983
2007,8,1,380,236.12,0,16340203.83,4182635360,22038021.7,867690370.4,967223668.5,6055927625
1996,7,4,2722.223,1691.51,43456280.94,71193353.94,6644493125,65664934.91,862781875.1,397150332.1,8041283621
2013,4,1,141.3,87.8,0,7756718.366,1645956742,7659270.822,282512651.2,177370265.1,2121255648
2015,7,5,3302.6,2052.14,28317106.17,46940859.99,2716863467,19239407.47,582071953.4,67083437.95,3432199125
2007,9,2,10.6,6.59,0,1117650.111,146915094.6,824578.5239,17060771.66,6592931.343,172511026.2
2001,3,6,41299.2,25662.13,105006760.5,46295882.05,5010847277,132857238.7,760867160.8,153241320.7,6104108879
2007,6,6,12504.83,7770.14,145025682.7,158278151.7,4581683537,85993247.35,761365311.3,75239543.28,5662559790
2011,9,5,3078.7,1913.02,31121748.99,40938702,2699027546,23305325.65,505702463.9,59202970.58,3328177008
1994,11,3,435.997,270.92,659087.8022,7882832.384,1590858696,10454195.62,214302317,184980523.7,2008478565
2008,4,6,26563.6,16505.86,67158139.83,61449933.06,3874485035,64668239.94,762799144,98312401.18,4861714754
2016,3,1,456.03,283.36,0,16452487.37,3579045838,29547236.53,717575003.5,522383779.7,4865004345
2019,11,3,351,218.1,763741.2157,11691113,2280283293,9355831.759,439469278.8,191423099.2,2932222616
2012,9,1,644,400.16,0,68870781.54,10721911450,61194149.4,1776884098,1125961742,13754822220
2010,6,6,12524.1,7782.11,159368127.1,134281970.8,4841917747,85961257.98,854291995.8,69010108.11,5985463080
1995,5,2,38.642,24.01,0,1278887.547,257748072.5,1827485.609,34717665.09,19535969.94,315108080.7
2010,11,1,55.6,34.55,0,2588587.337,495242446.6,2876124.993,97654573.54,71669656.39,670031388.9
1993,10,4,2658.788,1652.09,27219100.45,52417481.28,5464776278,81993419.68,663035787.3,317763345.8,6579986312
1999,1,1,326.8,203.06,0,21093195.12,3429843319,28393767.27,415481660.9,597083015.8,4491894958
1995,8,6,25687.7,15961.6,180441844.6,67792218.44,5354956429,90759340.45,695021076.9,130976969.5,6339506035
2013,11,1,55.6,34.55,0,1765759.865,544912287.6,2305947.38,99405459.47,72793202.86,721182657.2
2002,10,6,25965,16133.9,165354455.5,93348964.43,7232904244,147663746.6,1003871617,149759704.4,8627548276
2008,2,3,557.22,346.24,1234495.869,19468161.46,3007034853,12904966.82,539654449,569148025.5,4148210456
2014,3,2,0,0,0,0,0,0,0,0,0
1999,6,6,12273.9,7626.65,154182076.7,105134763,4995153305,85485763.14,647093474.1,82140922.02,5915008227
2000,11,5,1339.6,832.39,5178642.72,7548622.623,710064424,18015123.73,104746316,21631375.7,862005862.1
2001,10,2,4.3,2.67,0,536473.8676,57079082.53,1059521.147,8913145.977,3379577.642,70967801.17
1998,7,3,1136.965,706.48,3868312.182,45731659.61,5015890623,30658421.07,774366378.5,716487998.8,6583135081
2003,9,5,3089.4295,1919.68,28323744.37,44932693.7,2619556964,31553212.14,447425125.9,80738499.81,3224206496
2000,4,6,25678.9,15956.13,60172937.77,51486807.19,3630494087,62496864.1,578462912.4,99966543.98,4422907214
1994,9,3,853.105,530.09,4162166.696,48668337.53,4592864435,33636605.35,552088309.9,435319645.1,5662577333
2011,11,5,1340.6,833.01,4945369.045,6983004.659,622255509.3,13637048.86,112678207,14156722.04,769710491.9
2004,9,1,643.4,399.79,0,76447788.79,10682117372,81860019.61,1462657506,1278239008,13581321694
2017,2,5,2011.62,1249.96,16301446.5,29052162.32,1824498512,12170439.6,378064283.1,47908791.1,2291694188
2004,11,5,1339.5,832.33,4496707.631,7361403.731,640873244.6,17095783.81,108155618,19481031.43,792967081.5
2018,10,2,3.8,2.36,0,271455.5353,60765792.99,498012.8344,9330011.842,3926576.799,74791850
2005,4,1,141.3,87.8,0,8911490.023,1584922433,9019923.335,245290598.8,202499380.2,2050643825
2005,3,3,2806.03,1743.59,3477477.407,41633644.86,4757427764,46724832.66,692708139.7,524815220.4,6063309602
1994,2,4,2575.861,1600.57,26861302.49,48238499.66,4601216596,49741378.47,604603072.4,365017793.6,5668817340
2017,3,5,7322.8,4550.18,16036803.27,25190985,2047513984,27192467.56,529417929.2,53895483.02,2683210849
2017,4,3,1538.3,955.86,2821038.831,32514365.57,3538756234,25747111.64,743759390.2,264962424.6,4605739526
2010,3,5,7314.2,4544.83,18342332.43,18130856.57,1818349636,39367059.47,461273061,72660563.91,2409781177
1996,5,6,29681.5,18443.23,169906496.1,69541378.35,7060720393,110303328.6,807067973,156430819,8204063892
2002,9,5,3089.4,1919.66,28298433.92,43135000.82,2658389923,30467256.57,433260392.2,79555448.06,3244808021
1998,10,1,378.551,235.22,0,19463353.39,4834591740,37475890.18,711101214.5,1040683119,6643315317
1998,3,3,2831.538,1759.44,4377051.768,29345740.87,4454432041,48855004.9,637212739.5,530026955.1,5699872482
2001,2,4,2624.26,1630.64,24238049.79,58259797.16,5085360108,53807342,700458756.5,365462513.3,6263348517
1999,6,1,71.3,44.3,0,26805097.6,1196412659,12996711.7,178914263.2,141429752.7,1556558485
2003,8,2,3.5,2.17,0,303277.6088,38099895.98,601724.3672,6479508.421,1174372.912,46658779.29
2016,8,4,3072.2,1908.98,37422493.88,72001084.66,7163346222,84646892.24,1310530993,347801548.8,8978326741
2019,1,3,747.5,464.47,972501.3055,29111206.97,3619931494,15081721.31,769379181.9,300033207,4733536811
2006,1,4,4231.19,2629.14,34356222.85,117885664.4,8297326609,85407358.68,1239671244,419198691.1,10159489567
2018,11,3,350.4,217.73,221618.6005,11377948.52,2120027393,8819421.784,427389320.8,195455100.9,2763069185
2018,6,2,0,0,0,0,0,0,0,0,0
1998,4,3,1515.89,941.93,2708077.95,21497961.28,2757367023,27181615.61,423591984.7,285901940.8,3515540525
1995,1,6,40448.2,25133.35,166976109.5,106391796.9,5822580505,94942411.32,727132297.4,137818887.7,6888865898
2003,11,5,1339.0805,832.07,4910390.934,8092089.247,653072955.3,17756949.82,104557092,20547150.1,804026236.4
2011,9,3,669.9,416.26,1894101.572,51307259.36,4888201373,24385202.6,855416948.8,414873041.1,6234183825
2001,8,6,26041.9,16181.69,192144200.8,90563065.69,5751074914,99892134.7,873219406.3,148575779.3,6963325300
2002,5,6,30117.4,18714.08,193310163.4,101142913.3,7651408115,117970249.1,1001349959,175974441.6,9047845678
1999,11,2,2.4,1.49,0,157943.8579,30084177.16,218454.2273,3432579.983,906702.9796,34799858.2
2014,2,6,25373.75,15766.52,252757835.5,91390939.79,6127613016,86283278.48,1123022703,136913351.6,7565223289
1997,10,4,2668.024,1657.83,24362855.3,53086018.9,5833710298,89219458.98,745950804.2,326778035,7048744615
1996,4,5,2989.1,1857.34,8501600.652,11199594.37,1073603903,22096580.97,175616275.9,43409612.86,1325925967
2016,6,6,12544.76,7794.95,197568180.6,184933015.7,6164976104,65394263.4,1430771697,60272332.59,7906347413
2011,7,5,3238.3,2012.19,26050365.86,34401748.91,2279151636,22810604.61,508192713.2,64691724.35,2909248427
2004,6,4,1719.61,1068.52,133146984.5,289118140.2,8934802275,241688493.3,1277239837,416912162.3,11159760908
1994,6,5,511.8,318.02,20232467.39,36872166.55,1233739959,26565482.58,147343886.7,27541035.35,1472062530
2015,10,6,26508.51,16471.62,196073969.2,89679964.55,7933332682,132081647.7,1459783573,109028454.9,9723906323
1997,11,5,1339.9,832.58,5491678.597,6885414.181,746929183.6,19208447.67,99624443.25,21215476.62,893862965.3
2002,7,4,3025.6,1880.02,39884695.6,99108947.53,7645482292,79414092.36,1035582031,506375222.9,9365962586
2017,9,3,679.4,422.16,1927433.925,53391901.94,5472155585,25091540.14,1097883948,474772741.4,7123295716
2001,1,6,40923,25428.37,177685349.9,143255007.8,6332412647,106668308.6,951185334.4,157873897,7691395194
1998,9,2,10.458,6.5,0,1380771.296,136367545.4,690586.9721,14763089.18,6607900.486,159809893.3
2010,8,4,3034.5,1885.55,38002734.65,72359878.31,6918156004,95415893.99,1102321415,334287381.4,8522540572
2012,7,5,3237.3,2011.56,26641874.42,38117409.23,2323480711,19404536.38,490021686.5,59129744.62,2930154088
2011,5,4,3686.8,2290.87,55183529.13,74155820.63,8830873088,121813089.1,1310189139,404309173.5,10741340310
1995,4,5,2989.6,1857.65,8638302.314,11363636.36,1065335317,21693932.43,167972788.9,42407962.5,1308773637
2000,5,2,23.7,14.73,0,797750.3877,179588467.5,1150345.234,21856150.08,13664733.21,217057446.4
2009,3,1,406.61,252.66,58060.9242,15779069.95,3078183164,32251131.05,520047862.9,475426044.5,4121687273
2014,7,2,0,0,0,0,0,0,0,0,0
2019,3,1,475.6,295.52,0,16074673.83,3896493293,28815543.37,853210405.4,582842491.9,5377436408
2019,8,3,262.5,163.11,516367.3932,8637909.799,1373534560,5708662.789,293910880.6,226107721.2,1907899735
2013,2,1,195.4,121.42,0,10242136.23,3055620760,13933030.89,584794388.3,605596008.5,4270186324
1998,5,6,29825.7,18532.83,166713269.5,74888277.46,7210283196,120797045.3,896983491.4,152795176.2,8455747186
1993,9,6,37759.9,23462.91,327445841.3,140993473.1,10708808061,116527603.8,1233061421,205965909.1,12405356468
2005,5,5,1961.4,1218.76,26199759.26,31185716.69,1779480250,41815201.93,295717957,55197098.87,2203396225
2003,6,1,60.1,37.34,0,11969259.52,1012097256,8650964.306,145440301.8,136397154.1,1314554935
2002,10,1,381.7,237.18,136.0802911,20414334.35,5109174219,30145594.73,750074247,1049865070,6959673466
2014,11,3,342.17,212.61,654548.7155,11719299.75,1929109604,10337395.05,345404078.1,173707601.8,2470277978
2004,2,3,643.93,400.12,2068933.951,24190715.04,3288978735,15313871.43,533688496,574849539.2,4437021356
2006,8,4,2920,1814.4,35467762.95,71546775.89,6922883819,95675308.39,1034236635,363144431.8,8487486970
2013,4,6,26581.68282,16517.09,80981821.08,52887791.82,3952449730,55160004.7,770446856.2,72598923.96,4903543307
2007,4,3,1546.6,961.01,1631965.571,27959088.36,3168890852,29053337.2,545980241.7,283140501.7,4055024021
2009,7,6,32185.8,19999.33,370700529.2,152023907,8274594363,138152106.9,1447213637,142102897.6,10154086911
2012,9,6,38731.87296,24066.87,413084411.7,196018764.9,11527935261,102486467.5,1906098629,140494754.1,13873033876
2013,8,3,278.82,173.25,481318.2407,8509685.659,1418692832,8914533.995,271818871.1,247429441.1,1955365364
2017,5,4,3729,2317.09,52475511.91,72710432.01,8865406466,98490072.2,1489142997,384009367.1,10909759334
1997,6,4,1377.335,855.84,101444506,169467873.9,5884305982,157773627,746465630.7,212285457.3,7170298571
2016,2,2,0,0,0,0,0,0,0,0,0
2013,11,6,13054.6263,8111.77,73561003.87,23783872.31,3103279812,86242796.53,520783868.3,41243730.94,3775334080
2000,9,6,38359.5,23835.49,351690284.4,170802132.5,11485377143,135420929.1,1571839722,216101070.1,13579540997
2007,9,3,669.3,415.88,1228782.349,55026946.07,4900779637,26562033.66,784511859.5,455286324.7,6222166801
1994,11,6,12715.1,7900.8,67813345.06,22082910.8,3293134967,92100259.48,371631546.8,60542059.37,3839491743
2011,9,6,38650,24016,403603145.1,190454027.3,11383946630,116667770.8,1937721096,154504205.8,13783293731
2009,11,4,1421.6,883.34,11795303.55,28239041.81,3219154943,42789653.73,487614556.6,130103304.5,3907901500
1994,4,1,131.563,81.75,0,4827982.706,1032051012,10833981.42,128451472.2,174253940.1,1350418388
2014,10,2,3.2,1.99,0,203644.9367,49393310.81,655367.0309,8250660.598,2752949.126,61255932.5
2009,10,3,456.1,283.41,1056640.78,15276713.68,2033033085,10138457.97,348204199.4,242103915.9,2648756372
2010,1,4,4211.2,2616.72,39806047.99,110028830.7,7806367532,88820490.52,1305881563,364592938.5,9675691355
2015,7,6,32419.5,20144.54,412066899.8,126938022.9,8592283944,105900076.6,1615592156,113408701.6,10554122901
2018,7,2,0,0,0,0,0,0,0,0,0
2005,1,5,3279.5,2037.79,25043444.05,50848379.71,2101302286,30274332.96,421005670.3,78010392,2681441061
2004,8,5,1908.9,1186.14,13267087.51,21656538.03,1326193177,24663725.09,260664126.5,56175829.49,1689353396
2014,9,3,673.3,418.37,1687176.819,51655737.97,4939683776,25569730.61,934540617.9,417047630.8,6368497494
2002,4,5,2985.1,1854.86,7900243.196,13837818.49,1041933693,22277229.26,208404486.5,44640137.83,1331093365
2007,5,4,3652.35,2269.47,35442032.44,80620757.12,8936949761,121507373.3,1251585028,463210869.8,10853873790
1996,9,2,10.568,6.57,0,1358452.885,128790710.4,840791.0304,12284137.51,7245941.825,150520033.6
1993,10,5,2507.6,1558.15,20599697.77,24244661.18,2009308140,31504762.19,261321383.1,64927697.25,2391306644
2000,6,5,513.6,319.14,19783369.57,41112810.82,1181211577,28047192.87,156219769.7,27358083.15,1433949434
2002,9,2,10.6,6.59,0,1226673.104,149317297.3,899127.8434,13727167.4,7258001.086,172428266.7
2004,5,1,615.8,382.64,0,31127456.9,7993731837,42052370.78,1197766716,1327126156,10591804537
2012,10,5,2497.47,1551.86,21762808.81,28809546.63,1947814337,24908931.35,357252678.6,40167136.17,2398952629
2000,4,1,141.3,87.8,0,7170975.006,1335254395,9450537.983,195728187.3,198591860.5,1746195956
1997,1,1,319.951,198.81,0,18945509.47,3174895399,29539754.71,409712611.5,532728681.4,4165821956
2012,4,3,1546.6,961.01,1885037.338,25782946.79,3125966095,30196353.53,584074278.3,246844923.1,4012864597
1993,3,3,2820.302,1752.45,5037888.73,27888354.51,4025143564,45904058.42,484011501,469978092.3,5052925570
2018,2,6,25576.9949,15892.81,199997735.1,97839221.56,6566470230,81545671.51,1249739335,121416612.6,8117011070
2017,1,4,4221.8,2623.3,43288259.38,106057627.1,8233186534,78314535.36,1650959388,383110777.9,10451628863
1995,9,2,16.997,10.56,0,2026197.009,199237148.2,1216590.735,18852741.24,11408817.51,232741494.7
2000,10,5,2506.3,1557.34,19944911.07,26578216.58,1990440982,33498131.18,316504578.9,64065453.24,2431087361
2003,8,5,1922.0805,1194.33,14191629.37,23307438.46,1316689433,25359418.16,247413638.4,57264749.97,1670034678
2000,11,6,12892.8,8011.21,72420299.85,26589766.83,3457993625,107203668.5,444093338.5,66403123.53,4102283522
2011,4,3,1546.6,961.01,1936354.502,28008907.36,3149596436,29553282.58,575010921.5,252475728.9,4034645277
1994,8,3,701.289,435.76,4476730.892,19556392.54,2315798159,18964742.16,300259385.8,397052092.7,3051630773
1995,5,3,823.045,511.42,6027306.157,17609723.59,2241137035,19369943.9,290705396.7,239384583.4,2808206682
2019,6,5,506.212,314.55,20803100.98,46966689.47,780479070.2,10192160.08,190812942.7,8707231.697,1037158094
