local_authority_id,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
204,1993,363.311,225.75,344882678.9,407095428.9
167,1993,416.358,258.71,423565091.7,532823278.9
124,1993,515.907,320.57,492562420.5,586015562.2
175,1993,402.416,250.05,474791828.8,549093801.6
103,1993,388.328,241.3,425746315.3,528465590.9
177,1993,411.597,255.75,372888700,432941710.4
93,1993,282.78,175.71,440442766.1,555917307.9
125,1993,414.581,257.61,362181899,440712902.9
108,1993,417.533,259.44,513729681.2,614902744.8
109,1993,340.005,211.27,514347027.7,656021929.4
208,1993,2279.473,1416.4,1660087833,2066144914
83,1993,3195.383,1985.52,2681061908,3157586539
97,1993,4548.659,2826.41,2792996753,3524216716
207,1993,5038.694,3130.9,3479502697,4270119325
77,1993,7847.086,4875.95,2218534697,2836748721
61,1993,5529.366,3435.79,3025500281,3777603660
71,1993,12729.439,7909.71,3068623764,3735322796
138,1993,4165.03,2588.03,1606673949,1933032741
133,1993,3322.393,2064.44,1904249876,2257363472
123,1993,7795.798,4844.08,5746482239,7011533165
70,1993,5312.208,3300.85,2358652518,2894403535
65,1993,8583.124,5333.31,6356511992,7556797308
78,1993,5084.738,3159.51,4942412349,5976773625
80,1993,8907.222,5534.69,5735750915,7072229865
76,1993,6976.619,4335.07,4716776813,5704869101
60,1993,4331.631,2691.55,2740379629,3458818553
99,1993,8936.644,5552.97,2164125370,2788060254
154,1993,9944.905,6179.48,3369976375,4136028059
59,1993,4415.658,2743.76,3133736540,3989609016
100,1993,8992.008,5587.37,3039734744,3883703160
2,1993,4650.688,2889.8,2702630464,3368848575
142,1993,4513.524,2804.57,3101560103,3765177741
5,1993,6630.332,4119.9,2410250275,2958160876
117,1993,6046.331,3757.02,3551928749,4516668276
126,1993,6756.782,4198.47,2425125473,3037571436
135,1993,5364.143,3333.12,6154069683,7247412344
72,1993,3952.607,2456.04,3447795550,4262228145
81,1993,4471.981,2778.76,3335474050,3914211287
69,1993,4126.595,2564.15,2694265138,3334558326
50,1993,284.394,176.71,125372637.9,150935705.8
38,1993,4683.629,2910.27,718614665.4,970005721.6
39,1993,1296.351,805.52,385168235.6,484088922.6
34,1993,1040.065,646.27,328963149,405938887.5
206,1993,478.326,297.22,267148309.5,315724917.1
53,1993,1233.671,766.57,75793065.99,96948349.76
30,1993,888.543,552.12,562919616.9,692215111.3
35,1993,8149.405,5063.81,1015779544,1265171704
48,1993,401.049,249.2,245453438.2,287434804.5
36,1993,620.042,385.28,268476382.3,323364808.3
46,1993,1842.199,1144.69,282025529.7,355072876.9
41,1993,1127.606,700.66,329575694.8,394069681.8
54,1993,1075.871,668.52,54235327.56,67847094.22
33,1993,3183.927,1978.4,475951158.4,600938044.3
55,1993,1000.839,621.89,74377862.66,95900473.73
40,1993,1317.557,818.69,394237515.4,480017440
37,1993,2442.18,1517.5,878979545.1,1133750038
42,1993,1183.716,735.53,481389198,586301164.6
51,1993,975.998,606.46,610827454.5,720492400.6
45,1993,6576.582,4086.5,1111368955,1389907768
